"author","title","series","id","owner","category","borrowed"
"Augustinus","Bekenntnisse","","0001","JSA","Thelogie",
"Wilkerson, David","Frei von der Herrschaft der Sünde","","0002","CCW","Thelogie",
"MacArthur","Heaven","","0003","CCW","Thelogie",
"Piper","Vorsehung","","0004","CCW","Thelogie",
"Stadelmann/Richter","Bibelauslegung praktisch","","0005","SDU","Thelogie",
"Kruse/Schäl","Das Jesus Projekt","","0006","SDU","Thelogie",
"Jaeger/Pletsch","Biblische Lehre für junge Leute","","0007","CCW","Thelogie",
"Kasdorf","Die Umkehr","","0008","JSA","Thelogie",
"Schaeffer","Escape from Reason","","0009","CCW","Thelogie",
"Sproul/Wolgemuth","What’s in the Bible","","0010","CCW","Thelogie",
"Packer","Knowing God","","0011","CCW","Thelogie",
"Packer","Concise Theology","","0012","CCW","Thelogie",
"Bartholomew/Goheen","The Drama of Scripture","","0013","CCW","Thelogie",
"Piper","What Jesus demands from the world","","0014","CCW","Thelogie",
"Sproul","Are we Together?","","0015","CCW","Thelogie",
"Eusebius","Ecclesiastical History","","0016","CCW","Thelogie",
"Lightfoot","The Apostolic Fathers","","0017","CCW","Thelogie",
"Grudem","Bible doctrine","","0018","CCW","Thelogie",
"Mears","What the Bible is all about","","0019","CCW","Thelogie",
"Bunyan","The Pilgrims Progress Part 2","","0020","CCW","Thelogie",
"Lloyd-Jones","Die Predigt und der Prediger","","0021","RRU","Thelogie",
"BROCKHAUS (Hrsg.)","Dem Glauben Raum geben","","0022","CCW","Thelogie",
"BERGER","Jesus","","0023","CCW","Thelogie",
"DUVALL/HAYS","Grasping God’s Word","","0024","CCW","Thelogie",
"CREMER","Die christliche Lehre von den Eigenschaften Gottes","","0025","JSA","Thelogie",
"BEYERHAUS (Hrsg.)","Das Geheimnis der Dreieinigkeit im Zeugnis der Kirche","","0026","CCW","Thelogie",
"FEE/STUART","Effektives Bibelstudium","","0027","SDU","Thelogie",
"Schlatter","Calwer Bibellexikon","","0028","SDU","Nachschlagewerke",
"Littell/ Geldbach","Atlas zur Geschichte des Christentums","","0029","CCW","Nachschlagewerke",
"Schipper","Der Messias in der Heiligen Schrift offenbart","","0030","SDU","Nachschlagewerke",
"Heussi","Kompendium der Kirchengeschichte","","0031","JSA","Nachschlagewerke",
"Brockhaus","Handbuch, Die Geschichte des Christentums","","0032","JSA","Nachschlagewerke",
"Sierszyn","Von den Anfängen bis zum Untergang des weströmischen Reiches, Band 1","2000 Jahre Kirchengeschichte","0033","JSA","Nachschlagewerke",
